equipoId,folio,personaId,id,IDPERSONA,viaje,hh1,hh0,mm1,mm0,duracion,Horamedia
6,2030020,17,28,3,2   ,19,19,13,0,13,1906.0
6,2030020,17,29,3,3   ,20,20,15,0,15,2008.0
6,2030020,17,30,3,4   ,21,21,15,0,15,2108.0
6,2030021,18,98,1,1   ,8,8,35,25,10,830.0
6,2030021,18,99,1,2   ,13,13,10,0,10,1305.0
6,2030021,18,100,1,3   ,14,14,30,20,10,1425.0
6,2030021,18,101,1,4   ,18,18,40,30,10,1835.0
6,2030021,18,102,1,5   ,19,19,50,30,20,1940.0
6,2030021,18,103,1,6   ,21,20,0,45,15,2053.0
6,2030021,19,52,2,1   ,7,7,45,30,15,738.0
6,2030021,19,53,2,2   ,19,19,20,0,20,1910.0
6,2030021,20,96,3,1   ,15,15,45,30,15,1538.0
6,2030021,20,97,3,2   ,18,18,15,0,15,1808.0
6,2047002,71,196,1,1   ,8,8,12,0,12,806.0
6,2047002,71,197,1,2   ,13,13,15,0,15,1308.0
6,2047002,71,198,1,3   ,15,15,10,0,10,1505.0
6,2047002,71,199,1,4   ,18,18,13,0,13,1806.0
6,2047002,72,200,2,1   ,8,8,12,0,12,806.0
6,2047002,72,201,2,2   ,13,13,15,0,15,1308.0
6,2047002,72,202,2,3   ,15,15,10,0,10,1505.0
6,2047002,72,203,2,4   ,18,18,13,0,13,1806.0
6,2047002,73,177,3,1   ,8,8,7,0,7,804.0
6,2047002,73,178,3,2   ,13,13,36,30,6,1333.0
6,2047002,73,179,3,3   ,15,15,6,0,6,1503.0
6,2047002,73,180,3,4   ,18,18,7,0,7,1804.0
6,2047002,74,181,4,1   ,8,8,7,0,7,804.0
6,2047002,74,182,4,2   ,13,13,36,30,6,1333.0
6,2047002,74,183,4,3   ,15,15,6,0,6,1503.0
6,2047002,74,184,4,4   ,18,18,7,0,7,1804.0
6,2047002,75,175,5,1   ,7,7,55,45,10,750.0
6,2047002,75,176,5,2   ,15,15,40,30,10,1535.0
6,2047005,78,211,1,1   ,7,7,43,27,16,735.0
6,2047005,78,212,1,2   ,12,12,36,30,6,1233.0
6,2047005,78,213,1,3   ,13,13,40,10,30,1325.0
6,2047005,78,214,1,4   ,17,17,25,15,10,1720.0
6,2047005,78,215,1,5   ,19,19,20,3,17,1911.0
6,2047005,80,185,3,1   ,10,9,10,55,15,1003.0
6,2047005,80,186,3,2   ,11,11,20,10,10,1115.0
6,2047005,80,187,3,3   ,19,18,0,45,15,1853.0
6,2047005,80,188,3,4   ,20,20,50,35,15,2043.0
6,2047005,80,189,3,5   ,21,21,15,0,15,2108.0
6,2047005,81,216,4,1   ,15,14,8,45,23,1457.0
6,2047005,81,217,4,2   ,16,16,57,40,17,1648.0
6,2047008,76,365,1,1   ,7,7,45,40,5,742.0
6,2047008,76,366,1,2   ,7,7,52,46,6,749.0
6,2047008,76,367,1,3   ,8,7,8,55,13,801.0
6,2047008,76,368,1,4   ,13,13,37,30,7,1334.0
6,2047008,76,369,1,5   ,13,13,44,39,5,1341.0
6,2047008,76,370,1,6   ,14,14,35,30,5,1432.0
6,2047008,76,371,1,7   ,14,14,45,37,8,1441.0
6,2047008,76,372,1,8   ,18,18,38,30,8,1834.0
6,2047008,76,373,1,9   ,18,18,55,50,5,1852.0
6,2047008,77,361,2,1   ,7,7,45,40,5,742.0
6,2047008,77,362,2,2   ,13,13,44,39,5,1341.0
6,2047008,77,363,2,3   ,14,14,35,30,5,1432.0
6,2047008,77,364,2,4   ,18,18,55,50,5,1852.0
6,2047008,232,359,3,1   ,7,7,50,40,10,745.0
6,2047008,232,360,3,2   ,15,15,40,30,10,1535.0
6,2047902,110,286,2,1   ,7,7,50,40,10,745.0
6,2047902,110,287,2,2   ,8,7,5,55,10,800.0
6,2047902,110,288,2,3   ,9,9,5,0,5,902.0
6,2047902,110,289,2,4   ,13,13,25,20,5,1322.0
6,2047902,110,290,2,5   ,15,15,55,50,5,1552.0
6,2047902,110,291,2,6   ,18,18,25,20,5,1822.0
6,2047902,111,239,3,1   ,7,7,50,40,10,745.0
6,2047902,111,240,3,2   ,15,15,50,40,10,1545.0
6,2047902,111,241,3,3   ,16,15,0,55,5,1557.0
6,2047902,111,242,3,4   ,16,16,40,30,10,1635.0
6,2047902,112,282,4,1   ,7,7,50,40,10,745.0
6,2047902,112,283,4,2   ,15,15,50,40,10,1545.0
6,2047902,112,284,4,3   ,16,16,35,30,5,1632.0
6,2047902,112,285,4,4   ,19,19,40,30,10,1935.0
108,3003005,517,1082,1,1   ,9,8,0,40,20,850.0
108,3003005,517,1083,1,2   ,13,13,20,0,20,1310.0
108,3003005,517,1084,1,3   ,14,13,10,40,30,1355.0
108,3003005,517,1085,1,4   ,20,20,30,0,30,2015.0
108,3003005,518,1077,2,1   ,8,8,30,20,10,825.0
108,3003005,518,1078,2,2   ,13,13,50,30,20,1340.0
108,3003005,518,1079,2,3   ,15,15,40,30,10,1535.0
108,3003005,518,1080,2,4   ,17,17,40,30,10,1735.0
108,3003005,518,1081,2,5   ,19,19,45,30,15,1938.0
108,3003005,519,1071,3,1   ,8,7,0,45,15,753.0
108,3003005,519,1072,3,2   ,12,12,16,0,16,1208.0
108,3003005,519,1073,3,3   ,14,14,5,0,5,1402.0
108,3003005,519,1074,3,4   ,15,15,30,10,20,1520.0
108,3003005,519,1075,3,5   ,18,18,15,0,15,1808.0
108,3003005,519,1076,3,6   ,20,20,5,0,5,2002.0
108,3003005,520,1065,4,1   ,8,7,0,45,15,753.0
108,3003005,520,1066,4,2   ,13,13,46,30,16,1338.0
108,3003005,520,1067,4,3   ,14,14,38,30,8,1434.0
108,3003005,520,1068,4,4   ,16,16,36,30,6,1633.0
108,3003038,505,1211,1,1   ,10,10,15,0,15,1008.0
108,3003038,505,1212,1,2   ,13,12,0,40,20,1250.0
108,3003038,506,1157,2,1   ,8,7,0,40,20,750.0
108,3003038,506,1158,2,2   ,18,18,20,0,20,1810.0
108,3003038,507,1209,3,1   ,8,7,0,45,15,753.0
108,3003038,507,1210,3,2   ,13,13,45,30,15,1338.0
108,3003039,513,1039,1,1   ,11,11,45,30,15,1138.0
108,3003039,513,1040,1,2   ,12,12,30,15,15,1223.0
108,3003039,514,1041,2,1   ,9,9,27,0,27,914.0
108,3003039,514,1042,2,2   ,13,13,50,30,20,1340.0
108,3003039,515,1015,3,1   ,7,7,41,37,4,739.0
108,3003039,515,1016,3,2   ,13,13,40,35,5,1337.0
108,3003039,515,1017,3,3   ,14,14,45,30,15,1438.0
108,3003039,515,1018,3,4   ,17,16,0,45,15,1653.0
108,3003039,516,1019,4,1   ,7,7,41,37,4,739.0
108,3003039,516,1020,4,2   ,13,13,40,35,5,1337.0
108,3003039,516,1021,4,3   ,14,14,45,30,15,1438.0
108,3003039,516,1022,4,4   ,17,16,0,45,15,1653.0
108,3003040,508,1220,1,1   ,7,7,35,30,5,732.0
108,3003040,508,1221,1,2   ,7,7,40,35,5,737.0
108,3003040,508,1222,1,3   ,8,8,40,30,10,835.0
108,3003040,508,1223,1,4   ,12,12,25,15,10,1220.0
108,3003040,508,1224,1,5   ,13,13,25,15,10,1320.0
108,3003040,508,1225,1,6   ,15,15,10,0,10,1505.0
108,3003040,508,1226,1,7   ,19,19,15,0,15,1908.0
108,3003040,509,1240,2,1   ,9,9,15,0,15,908.0
108,3003040,509,1241,2,2   ,13,13,45,30,15,1338.0
108,3003040,509,1242,2,3   ,14,14,56,30,26,1443.0
108,3003040,509,1243,2,4   ,16,15,0,45,15,1553.0
108,3003040,509,1244,2,5   ,19,18,5,50,15,1858.0
108,3003040,511,1233,4,1   ,15,14,5,50,15,1458.0
108,3003040,511,1234,4,2   ,16,15,5,50,15,1558.0
108,3003040,511,1235,4,3   ,16,16,20,5,15,1613.0
108,3003040,511,1236,4,4   ,17,17,10,0,10,1705.0
108,3003040,511,1237,4,5   ,17,17,45,30,15,1738.0
108,3003040,511,1238,4,6   ,18,17,0,45,15,1753.0
108,3003040,511,1239,4,7   ,18,18,15,1,14,1808.0
108,3003040,512,1227,5,1   ,7,7,35,30,5,732.0
108,3003040,512,1228,5,2   ,13,13,45,35,10,1340.0
108,3003040,512,1229,5,3   ,14,14,30,25,5,1427.0
108,3003040,512,1230,5,4   ,15,15,50,35,15,1543.0
108,3003040,512,1231,5,5   ,16,15,5,51,14,1558.0
108,3003040,512,1232,5,6   ,18,17,0,30,30,1745.0
2,3004002,657,1724,1,1   ,8,8,20,0,20,810.0
2,3004002,657,1725,1,2   ,13,13,20,0,20,1310.0
2,3004002,657,1726,1,3   ,14,14,35,15,20,1425.0
2,3004002,657,1727,1,4   ,19,18,0,40,20,1850.0
2,3004002,657,1728,1,5   ,20,20,30,0,30,2015.0
2,3004002,657,1729,1,6   ,21,20,0,30,30,2045.0
2,3004002,658,1374,2,1   ,8,8,15,0,15,808.0
2,3004002,658,1375,2,2   ,11,11,15,0,15,1108.0
2,3004002,658,1376,2,3   ,14,14,45,30,15,1438.0
2,3004002,658,1377,2,4   ,15,14,0,45,15,1453.0
2,3004002,658,1378,2,5   ,17,17,20,0,20,1710.0
2,3004002,658,1379,2,6   ,18,17,10,50,20,1800.0
2,3004002,658,1380,2,7   ,19,19,15,0,15,1908.0
2,3004002,658,1381,2,8   ,19,19,30,15,15,1923.0
2,3004002,658,1382,2,9   ,20,20,30,15,15,2023.0
2,3004002,658,1383,2,10  ,20,20,45,30,15,2038.0
2,3004002,659,1730,3,1   ,8,7,0,45,15,753.0
2,3004002,659,1731,3,2   ,13,13,55,40,15,1348.0
2,3004002,659,1732,3,3   ,14,14,35,20,15,1428.0
2,3004002,659,1733,3,4   ,17,17,40,30,10,1735.0
2,3004002,659,1734,3,5   ,18,18,25,0,25,1812.0
2,3004002,659,1735,3,6   ,20,20,45,30,15,2038.0
2,3004010,650,1372,2,1   ,11,11,20,0,20,1110.0
2,3004010,650,1373,2,2   ,13,12,0,30,30,1245.0
2,3004013,735,1740,1,1   ,9,8,0,50,10,855.0
2,3004013,735,1741,1,2   ,13,13,55,45,10,1350.0
2,3004013,735,1742,1,3   ,14,14,8,4,4,1406.0
2,3004013,735,1743,1,4   ,16,16,50,35,15,1643.0
2,3004013,735,1744,1,5   ,17,16,10,55,15,1703.0
2,3004013,735,1745,1,6   ,18,18,30,15,15,1823.0
2,3004013,735,1746,1,7   ,19,19,30,15,15,1923.0
2,3004013,736,1747,2,1   ,9,8,0,50,10,855.0
2,3004013,736,1748,2,2   ,13,13,45,35,10,1340.0
2,3004013,736,1749,2,3   ,15,15,15,0,15,1508.0
2,3004013,736,1750,2,4   ,18,18,30,15,15,1823.0
2,3004013,737,1755,3,1   ,8,7,40,55,45,817.0
2,3004013,737,1756,3,2   ,14,13,0,15,45,1337.0
2,3004013,738,1751,4,1   ,8,7,0,50,10,755.0
2,3004013,738,1752,4,2   ,9,9,40,35,5,937.0
2,3004013,738,1753,4,3   ,14,13,0,50,10,1355.0
2,3004013,738,1754,4,4   ,15,15,30,20,10,1525.0
2,3004015,674,1736,1,1   ,11,11,15,0,15,1108.0
2,3004015,674,1737,1,2   ,12,12,30,15,15,1223.0
2,3004015,674,1738,1,3   ,17,17,15,0,15,1708.0
2,3004015,674,1739,1,4   ,20,19,0,35,25,1947.0
2,3005002,699,1775,1,1   ,7,7,58,45,13,751.0
2,3005002,699,1776,1,2   ,8,7,10,58,12,804.0
2,3005002,699,1777,1,3   ,8,8,30,25,5,827.0
2,3005002,699,1778,1,4   ,13,13,50,35,15,1343.0
2,3005002,699,1779,1,5   ,14,14,40,30,10,1435.0
2,3005002,699,1780,1,6   ,15,15,12,0,12,1506.0
2,3005002,699,1781,1,7   ,15,15,33,20,13,1526.0
2,3005002,699,1782,1,8   ,18,18,25,10,15,1818.0
2,3005002,699,1783,1,9   ,20,20,20,5,15,2013.0
2,3005002,700,1792,2,1   ,8,8,25,5,20,815.0
2,3005002,700,1793,2,2   ,10,10,20,10,10,1015.0
2,3005002,700,1794,2,3   ,14,14,3,0,3,1402.0
2,3005002,700,1795,2,4   ,16,15,5,45,20,1555.0
2,3005002,700,1796,2,5   ,16,16,50,30,20,1640.0
2,3005002,700,1797,2,6   ,17,16,10,55,15,1703.0
2,3005002,700,1798,2,7   ,17,17,55,45,10,1750.0
2,3005002,700,1799,2,8   ,21,21,3,0,3,2102.0
2,3005002,701,1784,3,1   ,7,7,58,45,13,751.0
2,3005002,701,1785,3,2   ,16,16,48,35,13,1641.0
2,3005002,702,1786,4,1   ,7,7,45,35,10,740.0
2,3005002,702,1787,4,2   ,13,13,36,30,6,1333.0
2,3005002,702,1788,4,3   ,16,16,50,45,5,1647.0
2,3005002,702,1789,4,4   ,19,19,40,35,5,1937.0
2,3005002,702,1790,4,5   ,19,19,55,52,3,1954.0
2,3005002,702,1791,4,6   ,20,20,5,1,4,2003.0
2,3005007,660,1763,1,1   ,9,9,23,15,8,919.0
2,3005007,660,1764,1,2   ,10,10,12,5,7,1009.0
2,3005007,660,1765,1,3   ,10,10,36,30,6,1033.0
2,3005007,660,1766,1,4   ,14,14,13,5,8,1409.0
2,3005007,660,1767,1,5   ,16,16,46,40,6,1643.0
2,3005007,660,1768,1,6   ,18,18,42,35,7,1839.0
2,3005009,679,1769,1,1   ,10,9,0,30,30,945.0
2,3005009,679,1770,1,2   ,10,10,40,30,10,1035.0
2,3005009,679,1771,1,3   ,11,11,15,0,15,1108.0
2,3005009,679,1772,1,4   ,14,13,5,45,20,1355.0
2,3005009,679,1773,1,5   ,15,15,38,30,8,1534.0
2,3005009,679,1774,1,6   ,16,16,50,40,10,1645.0
2,3005012,663,1800,2,1   ,10,9,0,50,10,955.0
2,3005012,663,1801,2,2   ,13,13,14,5,9,1309.0
2,3005012,663,1802,2,3   ,15,14,0,47,13,1453.0
2,3005012,663,1803,2,4   ,16,16,45,35,10,1640.0
2,3005012,663,1804,2,5   ,19,19,52,45,7,1949.0
2,3005012,664,1814,3,1   ,8,8,10,0,10,805.0
2,3005012,664,1815,3,2   ,13,13,10,0,10,1305.0
2,3005012,664,1816,3,3   ,14,14,10,0,10,1405.0
2,3005012,664,1817,3,4   ,19,19,10,0,10,1905.0
2,3005012,665,1805,4,1   ,8,8,10,0,10,805.0
2,3005012,665,1806,4,2   ,11,11,30,15,15,1123.0
2,3005012,665,1807,4,3   ,13,13,10,0,10,1305.0
2,3005012,666,1808,5,1   ,8,8,10,0,10,805.0
2,3005012,666,1809,5,2   ,13,13,10,0,10,1305.0
2,3005012,666,1818,5,3   ,15,15,40,30,10,1535.0
2,3005012,666,1819,5,4   ,17,17,40,30,10,1735.0
6,3006001,60,147,1,1   ,15,15,20,0,20,1510.0
6,3006001,60,148,1,2   ,16,16,6,0,6,1603.0
6,3006001,60,149,1,3   ,16,16,50,30,20,1640.0
6,3006007,56,222,1,1   ,10,10,15,0,15,1008.0
6,3006007,56,223,1,2   ,12,12,26,20,6,1223.0
6,3006007,56,224,1,3   ,13,13,35,20,15,1328.0
6,3006007,57,225,2,1   ,11,11,10,0,10,1105.0
6,3006007,57,226,2,2   ,12,12,40,30,10,1235.0
6,3006007,57,227,2,3   ,16,15,0,45,15,1553.0
6,3006007,57,228,2,4   ,16,16,40,25,15,1633.0
6,3006007,57,229,2,5   ,17,17,48,30,18,1739.0
6,3006007,57,230,2,6   ,19,19,10,0,10,1905.0
6,3006007,59,235,3,1   ,9,9,15,0,15,908.0
6,3006007,59,236,3,2   ,13,13,15,0,15,1308.0
6,3006007,59,237,3,3   ,15,14,5,50,15,1458.0
6,3006007,59,238,3,4   ,20,19,0,40,20,1950.0
6,3006007,58,231,4,1   ,7,7,40,30,10,735.0
6,3006007,58,232,4,2   ,13,13,12,0,12,1306.0
6,3006007,58,233,4,3   ,15,15,10,0,10,1505.0
6,3006007,58,234,4,4   ,18,18,15,0,15,1808.0
6,3006010,61,192,1,1   ,8,8,10,0,10,805.0
6,3006010,61,193,1,2   ,14,14,40,30,10,1435.0
6,3006010,61,194,1,3   ,15,15,20,0,20,1510.0
6,3006010,61,195,1,4   ,20,19,0,35,25,1947.0
6,3006010,62,155,2,1   ,15,15,20,0,20,1510.0
6,3006010,62,156,2,2   ,20,19,0,35,25,1947.0
6,3006012,66,150,1,1   ,7,6,0,50,10,655.0
6,3006012,66,151,1,2   ,16,15,0,30,30,1545.0
6,3006012,66,152,1,3   ,16,16,40,30,10,1635.0
6,3006012,66,153,1,4   ,18,18,10,0,10,1805.0
6,3006012,66,154,1,5   ,21,21,20,0,20,2110.0
6,3006012,67,165,2,1   ,11,11,30,0,30,1115.0
6,3006012,67,166,2,2   ,12,11,8,50,18,1159.0
6,3006012,67,167,2,3   ,17,17,45,30,15,1738.0
6,3006012,67,168,2,4   ,18,18,20,0,20,1810.0
9,4003031,499,892,2,1   ,17,17,2,0,2,1701.0
9,4003031,499,893,2,2   ,17,17,17,15,2,1716.0
9,4003031,499,894,2,3   ,21,21,2,0,2,2101.0
9,4003031,499,895,2,4   ,2,2,42,40,2,241.0
9,4003032,496,896,1,1   ,14,14,45,30,15,1438.0
9,4003032,496,897,1,2   ,15,15,5,0,5,1502.0
9,4003032,496,898,1,3   ,16,16,40,30,10,1635.0
9,4003033,495,889,1,1   ,10,9,0,45,15,953.0
9,4003033,495,890,1,2   ,11,11,15,0,15,1108.0
9,4003033,495,891,1,3   ,12,12,40,30,10,1235.0
9,4003034,490,942,1,1   ,10,10,5,0,5,1002.0
9,4003034,490,943,1,2   ,10,10,20,15,5,1017.0
9,4006006,487,950,1,1   ,10,10,3,0,3,1002.0
9,4006006,487,951,1,2   ,10,10,18,15,3,1017.0
9,4006006,488,944,2,1   ,9,8,0,40,20,850.0
9,4006006,488,945,2,2   ,17,17,20,0,20,1710.0
9,4006006,489,952,3,1   ,9,8,0,30,30,845.0
9,4006006,489,953,3,2   ,13,13,30,0,30,1315.0
9,4006006,489,954,3,3   ,15,15,30,0,30,1515.0
9,4006006,489,955,3,4   ,19,19,30,0,30,1915.0
9,4006901,479,1009,1,1   ,7,7,40,25,15,733.0
9,4006901,479,1010,1,2   ,18,18,20,0,20,1810.0
9,4006901,480,1001,2,1   ,8,8,35,10,25,822.0
9,4006901,480,1002,2,2   ,9,8,10,50,20,900.0
9,4006901,480,1003,2,3   ,11,11,40,0,40,1120.0
9,4006901,480,1004,2,4   ,14,14,15,0,15,1408.0
9,4006901,480,1005,2,5   ,18,18,15,0,15,1808.0
9,4006901,480,1006,2,6   ,19,19,45,30,15,1938.0
9,4006901,481,1007,3,1   ,7,7,45,15,30,730.0
9,4006901,481,1008,3,2   ,18,17,0,20,40,1740.0
9,4006902,483,1221,2,1   ,18,18,2,0,2,1801.0
9,4006902,483,1222,2,2   ,18,18,9,7,2,1808.0
9,4006903,484,960,1,1   ,10,10,20,0,20,1010.0
9,4006903,484,961,1,2   ,12,12,10,0,10,1205.0
9,4006903,485,956,2,1   ,9,9,10,5,5,907.0
9,4006903,485,957,2,2   ,9,9,25,20,5,922.0
9,4006903,485,958,2,3   ,17,17,5,0,5,1702.0
9,4006903,485,959,2,4   ,17,17,20,15,5,1717.0
9,4006903,486,946,3,1   ,8,8,17,0,17,808.0
9,4006903,486,947,3,2   ,16,16,20,0,20,1610.0
108,4008003,467,904,1,1   ,7,7,29,25,4,727.0
108,4008003,467,905,1,2   ,12,12,35,30,5,1232.0
108,4008003,467,906,1,3   ,14,13,0,55,5,1357.0
108,4008003,467,907,1,4   ,18,18,5,0,5,1802.0
108,4008003,468,908,2,1   ,9,9,45,20,25,932.0
108,4008003,468,909,2,2   ,21,21,30,0,30,2115.0
108,4008005,463,889,1,1   ,18,18,25,15,10,1820.0
108,4008005,463,890,1,2   ,18,18,50,30,20,1840.0
108,4008005,465,885,3,1   ,16,16,30,0,30,1615.0
108,4008005,465,886,3,2   ,18,18,25,0,25,1812.0
108,4008005,466,887,4,1   ,7,7,45,30,15,738.0
108,4008005,466,888,4,2   ,18,17,0,45,15,1753.0
108,4008009,477,891,1,1   ,10,10,45,30,15,1038.0
108,4008009,477,892,1,2   ,14,14,47,30,17,1438.0
108,4008009,477,893,1,3   ,22,22,30,13,17,2221.0
108,4008901,479,894,1,1   ,12,12,1,0,1,1200.0
108,4008901,479,895,1,2   ,12,12,7,5,2,1206.0
108,4011020,25,45,2,1   ,12,11,0,50,10,1155.0
108,4011020,25,46,2,2   ,18,18,43,30,13,1836.0
108,4011020,26,47,3,1   ,8,8,15,0,15,808.0
108,4011020,26,48,3,2   ,18,18,20,0,20,1810.0
108,4011020,27,49,4,1   ,8,8,20,0,20,810.0
108,4011020,27,50,4,2   ,13,13,20,0,20,1310.0
108,4011022,30,27,2,1   ,7,7,3,0,3,702.0
108,4011022,30,28,2,2   ,14,14,4,0,4,1402.0
108,4011022,30,29,2,3   ,16,16,3,0,3,1602.0
108,4011022,30,30,2,4   ,20,20,4,0,4,2002.0
108,4015003,7,3,1,1   ,15,15,15,0,15,1508.0
108,4015003,7,4,1,2   ,19,18,0,40,20,1850.0
108,4015003,7,5,1,3   ,21,21,7,0,7,2104.0
108,4015003,7,6,1,4   ,22,21,0,45,15,2153.0
108,4015004,4,17,1,1   ,15,14,10,50,20,1500.0
108,4015004,4,18,1,2   ,15,15,50,30,20,1540.0
108,4015004,4,19,1,3   ,16,16,5,0,5,1602.0
108,4015004,4,20,1,4   ,17,16,10,40,30,1655.0
108,4015004,5,13,2,1   ,15,14,10,50,20,1500.0
108,4015004,5,14,2,2   ,15,15,50,30,20,1540.0
108,4015004,5,15,2,3   ,16,16,5,0,5,1602.0
108,4015004,5,16,2,4   ,17,16,10,40,30,1655.0
108,4015004,6,1,3,1   ,15,15,20,0,20,1510.0
108,4015004,6,2,3,2   ,18,18,10,0,10,1805.0
108,4015005,1,9,1,1   ,18,17,0,35,25,1747.0
108,4015005,1,10,1,2   ,19,18,0,40,20,1850.0
108,4015005,1,11,1,3   ,20,20,30,0,30,2015.0
108,4015005,1,12,1,4   ,0,0,13,10,3,12.0
108,4015005,2,7,3,1   ,16,15,0,35,25,1547.0
108,4015005,2,8,3,2   ,23,23,55,50,5,2352.0
108,4015010,9,23,1,1   ,7,7,55,25,30,740.0
108,4015010,9,24,1,2   ,12,12,25,0,25,1212.0
108,4015010,10,21,2,1   ,17,17,15,0,15,1708.0
108,4015010,10,22,2,2   ,19,18,0,20,40,1840.0
108,4015010,11,25,3,1   ,14,14,40,20,20,1430.0
108,4015010,11,26,3,2   ,15,15,55,30,25,1542.0
108,4015011,15,41,1,1   ,9,9,55,40,15,948.0
108,4015011,15,42,1,2   ,20,20,10,0,10,2005.0
108,4015011,16,37,2,1   ,8,6,0,45,75,723.0
108,4015011,16,38,2,2   ,18,17,0,0,60,1730.0
108,4015011,18,43,4,1   ,6,6,15,0,15,608.0
108,4015011,18,44,4,2   ,19,19,15,0,15,1908.0
6,2030002,7,45,2,3   ,16,15,0,55,5,1557.0
6,2030002,7,46,2,4   ,16,16,10,5,5,1607.0
6,2030002,7,47,2,5   ,16,16,35,25,10,1630.0
6,2030002,7,48,2,6   ,17,17,15,5,10,1710.0
6,2030002,7,49,2,7   ,17,17,25,20,5,1722.0
6,2030002,7,50,2,8   ,18,17,0,50,10,1755.0
6,2030002,7,51,2,9   ,18,18,20,10,10,1815.0
6,2030002,8,39,3,1   ,7,7,38,30,8,734.0
6,2030002,8,40,3,2   ,15,15,35,25,10,1530.0
6,2030002,8,41,3,3   ,16,15,0,55,5,1557.0
6,2030002,8,42,3,4   ,17,17,25,20,5,1722.0
6,2030002,9,35,4,1   ,7,7,38,30,8,734.0
6,2030002,9,36,4,2   ,15,15,35,25,10,1530.0
6,2030002,9,37,4,3   ,16,16,35,25,10,1630.0
6,2030002,9,38,4,4   ,18,18,20,10,10,1815.0
6,2030010,10,69,1,1   ,9,8,0,45,15,853.0
6,2030010,10,70,1,2   ,11,11,10,0,10,1105.0
6,2030010,10,71,1,3   ,12,12,30,17,13,1223.0
6,2030010,10,72,1,4   ,15,14,0,30,30,1445.0
6,2030010,10,73,1,5   ,18,18,30,0,30,1815.0
6,2030010,12,62,3,1   ,12,12,10,0,10,1205.0
6,2030010,12,63,3,2   ,12,12,50,40,10,1245.0
6,2030010,12,64,3,3   ,15,14,0,50,10,1455.0
6,2030010,12,65,3,4   ,15,15,50,40,10,1545.0
6,2030010,12,66,3,5   ,16,16,15,0,15,1608.0
6,2030010,12,67,3,6   ,18,18,15,0,15,1808.0
6,2030010,12,68,3,7   ,19,19,20,10,10,1915.0
6,2030010,13,143,4,1   ,8,7,5,50,15,758.0
6,2030010,13,144,4,2   ,13,13,15,0,15,1308.0
6,2030010,13,145,4,3   ,20,20,38,30,8,2034.0
6,2030010,13,146,4,4   ,20,20,54,45,9,2049.0
6,2030010,14,139,5,1   ,8,8,40,30,10,835.0
6,2030010,14,140,5,2   ,13,13,12,0,12,1306.0
6,2030010,14,141,5,3   ,14,14,40,30,10,1435.0
6,2030010,14,142,5,4   ,18,18,30,15,15,1823.0
6,2030019,1,12,1,1   ,8,8,12,0,12,806.0
6,2030019,1,13,1,2   ,10,10,4,0,4,1002.0
6,2030019,1,14,1,3   ,13,13,44,30,14,1337.0
6,2030019,1,15,1,4   ,15,14,5,50,15,1458.0
6,2030019,1,16,1,5   ,18,17,5,50,15,1758.0
6,2030019,2,23,2,1   ,7,7,50,30,20,740.0
6,2030019,2,24,2,2   ,8,7,50,53,57,821.0
6,2030019,2,25,2,3   ,15,14,35,30,65,1502.0
6,2030019,2,26,2,4   ,16,15,3,50,13,1556.0
6,2030019,3,17,3,1   ,7,7,50,30,20,740.0
6,2030019,3,18,3,2   ,16,15,3,50,13,1556.0
6,2030019,4,5,4,1   ,7,7,50,30,20,740.0
6,2030019,4,6,4,2   ,16,15,3,50,13,1556.0
6,2030019,5,19,5,1   ,7,7,50,30,20,740.0
6,2030019,5,20,5,2   ,16,15,3,50,13,1556.0
6,2030019,5,21,5,3   ,18,18,15,0,15,1808.0
6,2030019,5,22,5,4   ,20,20,15,0,15,2008.0
6,2030020,15,31,1,1   ,8,8,38,30,8,834.0
6,2030020,15,32,1,2   ,13,13,10,0,10,1305.0
6,2030020,15,33,1,3   ,15,15,10,0,10,1505.0
6,2030020,15,34,1,4   ,19,19,20,0,20,1910.0
6,2030020,16,1,2,1   ,11,11,10,0,10,1105.0
6,2030020,16,2,2,2   ,13,13,15,0,15,1308.0
6,2030020,16,3,2,3   ,15,15,40,30,10,1535.0
6,2030020,16,4,2,4   ,18,18,15,0,15,1808.0
6,2030020,17,27,3,1   ,8,8,15,0,15,808.0
6,1003037,98,169,1,1   ,7,7,45,30,15,738.0
6,1003037,98,170,1,2   ,12,12,30,15,15,1223.0
6,1003037,98,171,1,3   ,13,13,45,30,15,1338.0
6,1003037,98,172,1,4   ,19,19,15,0,15,1908.0
6,1003037,99,204,2,1   ,9,9,50,30,20,940.0
6,1003037,99,205,2,2   ,11,11,20,0,20,1110.0
6,1003037,99,206,2,3   ,14,14,10,0,10,1405.0
6,1003037,99,207,2,4   ,15,15,30,15,15,1523.0
6,1003037,99,208,2,5   ,16,16,10,0,10,1605.0
6,1003037,99,209,2,6   ,19,19,15,0,15,1908.0
6,1003037,99,210,2,7   ,22,22,5,0,5,2202.0
6,1003048,68,268,1,1   ,8,7,5,48,17,756.0
6,1003048,68,269,1,2   ,8,8,28,20,8,824.0
6,1003048,68,270,1,3   ,12,12,55,50,5,1252.0
6,1003048,68,271,1,4   ,13,13,25,20,5,1322.0
6,1003048,68,272,1,5   ,19,19,5,0,5,1902.0
6,1003048,68,273,1,6   ,21,21,35,20,15,2128.0
6,1003048,68,274,1,7   ,22,21,10,50,20,2200.0
6,1003048,70,275,3,1   ,8,7,5,48,17,756.0
6,1003048,70,276,3,2   ,16,16,42,30,12,1636.0
